name,ingredients
Вафли из овсяных хлопьев,"{'Масло подсолнечное': '80 мл', 'Йогурт': '0.5 стак.', 'Соль': '2 ч. л.', 'Яйцо куриное': '2 шт', 'Хлопья овсяные': '5 ст. л.', 'Мука кукурузная': '3 ст. л.', 'Сода': '0.5 ч. л.'}"
Пасхальный торт-гнездо,"{'Шоколад темный': '180 г', 'Шоколад молочный': '70 г', 'Конфитюр': '3 ст. л.', 'Масло сливочное': '100 г', 'Хлопья кукурузные': '200 г'}"
"Сыр ""Тофу"" домашний","{'Соя': '500 г', 'Вода': '5 л', 'Соль': '3 ч. л.', 'Уксус': '4 ст. л.'}"
Кальмары в новом амплуа,"{'Кальмар': '1 кг', 'Морковь': '1 шт', 'Лук репчатый': '2 шт', 'Масло растительное': '15 ст. л.', 'Соль': 'по вкусу', 'Перец красный жгучий': 'по вкусу'}"
Яркий салат,"{'Филе куриное': '200 г', 'Огурец': '1 шт', 'Яйцо куриное': '3 шт', 'Кукуруза': '1 бан.', 'Перец болгарский': '0,5 бан.', 'Майонез': '4 ст. л.'}"
Хрустящая цветная капуста,"{'Капуста цветная': '700 г', 'Яйцо куриное': '3 шт', 'Мука пшеничная': '60 г', 'Сухари панировочные': '80 г', 'Сыр твердый': '40 г', 'Орегано': '1 ч. л.', 'Порошок чесночный': '1 ч. л.', 'Перец белый': 'по вкусу', 'Паприка сладкая': '1 ч. л.', 'Соль': 'по вкусу', 'Перец чили': 'по вкусу'}"
Сочная буженина,"{'Свинина': '1500 г', 'Лист лавровый': '3 шт', 'Чеснок': '10 зуб.', 'Горчица': '2 ст. л.', 'Смесь специй': '3 ст. л.', 'Имбирь': '1 ст. л.', 'Масло оливковое': '3 ст. л.', 'Соевый соус': '1 ст. л.', 'Вода': '2 л', 'Соль': '3 ст. л.'}"
Соус для бургеров,"{'Огурец': '3 ст. л.', 'Рассол': '1 ст. л.', 'Сахар': '0,25 ст. л.', 'Горчица': '0,25 ст. л.', 'Майонез': '4 ст. л.', 'Кетчуп': '1 ст. л.'}"
Чешские рогалики,"{'Молоко': '2 ст. л.', 'Мука пшеничная': '460 г', 'Сахар': '2 ст. л.', 'Масло сливочное': '25 г', 'Дрожжи': '1 ч. л.', 'Соль': '1 щепот.', 'Желток яичный': '1 шт'}"
"Пирог с картофелем ""Сытный""","{'Тесто слоеное дрожжевое': '400 г', 'Картофель': '4 шт', 'Моцарелла': '150 г', 'Ветчина': '100 г', 'Желток яичный': '1 шт', 'Укроп': '1 пуч.', 'Орегано': '1 ч. л.', 'Соль': 'по вкусу', 'Перец душистый': 'по вкусу', 'Кунжут': '1 ч. л.'}"
Рис с яйцом,"{'Рис': '4 ст. л.', 'Лук репчатый': '1 ст. л.', 'Морковь': '1 ст. л.', 'Яйцо куриное': '1 шт', 'Масло сливочное': '1 ч. л.'}"
Салат из баклажанов и помидоров,"{'Баклажан': '2 шт', 'Перец болгарский': '2 шт', 'Помидор': '4 шт', 'Зелень': '1 пуч.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу', 'Масло растительное': '4 ст. л.'}"
"Сервелат ""Мускатный""","{'Говядина': '250 г', 'Грудинка': '350 г', 'Свинина': '400 г', 'Соль': '15 г', 'Соль нитритная': '15 г', 'Перец черный': '1 г', 'Перец душистый': '1 г', 'Орех мускатный': '2,5 г', 'Сахар': '1 г', 'Кориандр': '1 г'}"
Картофельно-фасолевый салат,"{'Картофель': '400 г', 'Фасоль': '2 стак.', 'Фасоль стручковая': '100 г', 'Лук красный': '0,5 шт', 'Соевый соус': '2 ст. л.', 'Сок лимонный': '2 ст. л.', 'Масло оливковое': '4 ст. л.', 'Горчица': '1 ч. л.', 'Укроп': '3 веточ.', 'Соль': '0,5 ч. л.', 'Перец черный': '0,5 ч. л.'}"
Горбуша в сметане,"{'Горбуша': '700 г', 'Лук репчатый': '1 шт', 'Масло растительное': '2 ст. л.', 'Сметана': '150 г', 'Специи': '0.5 ч. л.'}"
Рийет из тыквы и рыбы,"{'Тыква': '150 г', 'Лук зеленый': '50 г', 'Форель': '180 г', 'Масло сливочное': '30 г', 'Сметана': '1 ст. л.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу'}"
"Салат ""Солнечная фасоль""","{'Фасоль': '250 г', 'Морковь': '1 шт', 'Чеснок': '2 зуб.', 'Укроп': '1 пуч.', 'Бальзамик': '2 ч. л.', 'Масло подсолнечное': '2 ч. л.'}"
Свинина под хрустящей сырно-картофельной корочкой,"{'Свинина': '3 шт', 'Лук репчатый': '1 шт', 'Соевый соус': '3 ст. л.', 'Картофель': '3 шт', 'Майонез': 'по вкусу', 'Сыр мягкий': '50 г', 'Перец черный': 'по вкусу'}"
Яйца бенедикт под голландским соусом,"{'Желток яичный': '1 шт', 'Масло сливочное': '70 г', 'Сок лимонный': '2 ч. л.', 'Яйцо куриное': '4 шт'}"
Грибной тарт с вяленым луком,"{'Грибы': '500 г', 'Лук репчатый': '5 шт', 'Яйцо куриное': '4 шт', 'Масло растительное': '1 ст. л.', 'Укроп': 'по вкусу', 'Специи': 'по вкусу', 'Соль': '0,25 ч. л.', 'Вода': '0,7 стак.', 'Мука цельнозерновая': '1 стак.', 'Мука пшеничная': '1,1 стак.', 'Дрожжи': '1 ч. л.', 'Сахар': '0.75 ч. л.'}"
Салат из консервированного тунца с фасолью,"{'Тунец': '1 бан.', 'Фасоль консервированная': '1 бан.', 'Укроп': '1 пуч.', 'Майонез': '4 ст. л.'}"
Десятка (10 х10 ),"{'Помидор': '10 шт', 'Морковь': '10 шт', 'Перец сладкий': '10 шт', 'Лук репчатый': '10 шт', 'Баклажан': '10 шт', 'Масло подсолнечное': '5 ст. л.', 'Перец черный': '10 шт', 'Лист лавровый': '4 шт', 'Сахар': '2 ст. л.', 'Соль': '2 ст. л.', 'Уксусная эссенция': '1 ст. л.'}"
Грибная закуска в лаваше,"{'Лаваш': '3 шт', 'Шампиньоны': '700 г', 'Сыр твердый': '350 г', 'Сметана': '350 г', 'Укроп': '1 пуч.', 'Масло сливочное': 'по вкусу', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу'}"
"Салат ""Троечник""","{'Яйцо куриное': '3 шт', 'Сыр твердый': '120 г', 'Яблоко': '2 шт', 'Майонез': '4 ст. л.'}"
Оленина в брусничном соусе,"{'Оленина': '2,5 кг', 'Брусника': '1 кг', 'Розмарин': '1 ст. л.', 'Орехи кедровые': '80 г', 'Сахар коричневый': '2 ст. л.', 'Коньяк': '100 мл', 'Масло растительное': '3 ст. л.', 'Соль': '1 ст. л.', 'Перец черный': '2 ч. л.'}"
Катлама с луком на сковороде,"{'Мука пшеничная': '700 г', 'Соль': '1.5 ч. л.', 'Вода': '350 мл', 'Масло сливочное': '100 г', 'Лук репчатый': '1 шт'}"
"Пирог ""Кокосовый""","{'Яйцо куриное': '2 шт', 'Сахар': '3 стак.', 'Пахта': '500 мл', 'Мука пшеничная': '500 г', 'Разрыхлитель теста': '2 шт', 'Стружка кокосовая': '100 г', 'Сливки': '150 мл', 'Ванильный сахар': '1 упак.'}"
Шах-плов,"{'Мясо': '1 кг', 'Рис': '500 г', 'Морковь': '1 шт', 'Лук репчатый': '3 шт', 'Курага': '200 г', 'Изюм': '100 г', 'Приправа': '2 ст. л.', 'Соль': 'по вкусу', 'Масло сливочное': '100 г', 'Масло растительное': '5 ст. л.', 'Лаваш': '1 упак.', 'Шафран': '2 ч. л.'}"
Домашний майонез из пастеризованных яиц,"{'Желток яичный': '3 шт', 'Масло растительное': '370 мл', 'Соль': '1 ч. л.', 'Сахар': '1 ч. л.', 'Уксус': '2 ст. л.', 'Сок лимонный': '2 ст. л.', 'Горчица': '2 ч. л.', 'Перец черный': 'по вкусу'}"
Брускетта с кремом из тунца и горчицы,"{'Хлеб': '4 ломт.', 'Горчица': '2 ч. л.', 'Сыр творожный': '150 г', 'Тунец': '1 бан.', 'Каперсы': '1 ст. л.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу', 'Тимьян': '1 ч. л.', 'Листья салата': 'по вкусу', 'Перец болгарский': '1 шт', 'Масло растительное': '1 ст. л.'}"
"Салат ""Мечта хозяйки""","{'Помидоры черри': '250 г', 'Огурец': '1 шт', 'Перец болгарский': '1 шт', 'Киви': '3 шт', 'Семечки': '50 г', 'Листья салата': '1 горст.', 'Лук красный': '1 шт', 'Орехи грецкие': '50 г', 'Чеснок': '1 зуб.', 'Масло оливковое': '50 мл', 'Соль': '1 щепот.'}"
Заправка для борща в мультиварке на зиму,"{'Свекла': '1.5 кг', 'Лук репчатый': '2 шт', 'Морковь': '2 шт', 'Перец болгарский': '2 шт', 'Помидор': '4 шт', 'Масло растительное': '1 стак.', 'Уксус': '1 стак.'}"
Запеченные голубцы с пекинской капустой,"{'Фарш мясной': '1500 г', 'Рис': '460 г', 'Капуста пекинская': '1 шт', 'Лук репчатый': '1 шт', 'Морковь': '2 шт', 'Помидор': '2 шт', 'Чеснок': '8 зуб.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу', 'Лист лавровый': 'по вкусу', 'Масло растительное': '5 ст. л.', 'Вода': '200 мл'}"
"Котлетки свиные по-деревенски ""Маруся""","{'Свинина': '1 кг', 'Картофель': '3 шт', 'Чеснок': '2 зуб.', 'Яйцо куриное': '1 шт'}"
Холодец из бычьего хвоста,"{'Хвост': '2 шт', 'Лук репчатый': '1 шт', 'Гвоздика': '1 ч. л.', 'Масло сливочное': '2 ст. л.', 'Лист лавровый': '8 л', 'Перец душистый': '1 ч. л.', 'Соль': '10 г', 'Мука пшеничная': '4 ст. л.', 'Яйцо куриное': '2 шт', 'Чеснок': '3 зуб.', 'Петрушка': '1 пуч.'}"
Грибы из картофеля на полянке,"{'Картофель': '1 кг', 'Бедро куриное': '8 шт', 'Чеснок': '2 зуб.', 'Масло растительное': '2 ст. л.', 'Специи': '1 ч. л.'}"
Рагу из индейки с морковью,"{'Петрушка': '1 пуч.', 'Мука пшеничная': '20 г', 'Сметана': '150 г', 'Бульон': '250 мл', 'Индейка': '400 г', 'Лук репчатый': '1 шт', 'Морковь': '750 г', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу', 'Сахар': '1 щепот.'}"
Нежный малиновый пирог,"{'Мука пшеничная': '1 стак.', 'Масло сливочное': '100 г', 'Малина': '400 г', 'Яйцо куриное': '2 шт', 'Сахар': '1 стак.', 'Разрыхлитель теста': '1 ч. л.', 'Ванилин': '1 пакет.'}"
Котлеты из сосисок и сыра,"{'Мука пшеничная': '4 ч. л.', 'Яйцо куриное': '2 шт', 'Сосиска': '4 шт', 'Сыр твердый': '200 г', 'Сметана': '1 ст. л.', 'Хлопья кукурузные': '200 г'}"
Бейгл с изюмом и корицей,"{'Мука пшеничная': '250 г', 'Вода': '110 мл', 'Масло растительное': '25 мл', 'Изюм': '50 г', 'Дрожжи': '5 г', 'Сахар': '2 ч. л.', 'Корица': '1 ч. л.'}"
Тугуны в кляре,"{'Рыба': '1 кг', 'Яйцо куриное': '2 шт', 'Молоко': '2 стак.', 'Соль': '1 ч. л.', 'Мука пшеничная': '2 стак.', 'Масло растительное': '1 стак.'}"
Холодец традиционно-обычный,"{'Свинина': '3 кг', 'Овощи': '1 шт', 'Смесь специй': '1 шт'}"
Салат с копченой рыбой и огурцами,"{'Рыба': '1 шт', 'Картофель': '5 шт', 'Морковь': '1 шт', 'Огурец': '0,5 шт', 'Соль': '1 ч. л.', 'Майонез': '4 ст. л.', 'Помидоры черри': '7 шт', 'Петрушка': '2 веточ.'}"
Настоящая Итальянская паста,"{'Яйцо куриное': '2 шт', 'Соль': '2', 'Мука пшеничная': '200 г'}"
Камбала под сырным соусом,"{'Лапша': '250 г', 'Камбала': '1 кг', 'Масло сливочное': '5 ст. л.', 'Вино белое сухое': '300 мл', 'Лук красный': '1 шт', 'Шампиньоны': '6 шт', 'Сыр твердый': '150 г', 'Желток яичный': '1 шт'}"
Козинаки из гречки и арахиса,"{'Крупа гречневая': '1 стак.', 'Арахис': '0,5 стак.', 'Мед': '3 ст. л.', 'Сахар': '0,5 стак.', 'Масло сливочное': '100 г'}"
Беляши сочные,"{'Вода': '250 мл', 'Мука пшеничная': '450 г', 'Масло растительное': '3 ст. л.', 'Соль': '1 ч. л.', 'Сахар': '1 ст. л.', 'Дрожжи': '1 ч. л.', 'Фарш мясной': '450 г', 'Лук репчатый': '200 г', 'Приправа': '1 ч. л.', 'Перец черный': 'по вкусу'}"
Овсяный пирог с лимонным кремом,"{'Сок лимонный': '190 мл', 'Цедра лимона': '1 шт', 'Яйцо куриное': '3 шт', 'Сахар': '80 г', 'Мука пшеничная': '200 г', 'Крахмал кукурузный': '15 г', 'Масло сливочное': '150 г', 'Разрыхлитель теста': '8 г', 'Соль': '1 щепот.', 'Хлопья овсяные': '130 г'}"
Капкейки с лимонным курдом,"{'Мука пшеничная': '180 г', 'Сахар': '60 г', 'Крахмал кукурузный': '2 ст. л.', 'Масло сливочное': '100 г', 'Яйцо куриное': '120 г', 'Разрыхлитель теста': '2 ч. л.', 'Молоко': '5 ст. л.', 'Цедра лимона': '1 шт', 'Желток яичный': '60 г', 'Сок лимонный': '40 г', 'Сыр сливочный': '200 г', 'Сахарная пудра': '60 г'}"
Рыбный гуляш по-приморски с тыквенными семечками и кунжутом,"{'Треска': '600 г', 'Кальмар': '300 г', 'Сметана': '3 ст. л.', 'Морковь': '1 шт', 'Лук репчатый': '1 шт', 'Помидор': '1 шт', 'Кунжут': '20 г', 'Семечки тыквенные': '50 г', 'Мука пшеничная': '100 г', 'Сыр голландский': '100 г', 'Масло растительное': '200 г', 'Соль': '5 г', 'Перец черный': '3 г', 'Специи': '1 ч. л.'}"
Закуска «Баклажан в тулупе»,"{'Баклажан': '1 шт', 'Соль': '1 ст. л.', 'Кинза': '1 пуч.', 'Укроп': '1 пуч.', 'Грудинка': '120 г', 'Соевый соус': '2 ст. л.', 'Уксус': '2 ч. л.', 'Чеснок': '1 зуб.', 'Масло растительное': '3 ст. л.', 'Сыр мягкий': '2 шт', 'Помидоры черри': '6 шт', 'Оливки зеленые': '10 шт', 'Яйцо куриное': '1 шт', 'Сухари панировочные': '3 ст. л.', 'Кетчуп': '1 ст. л.'}"
"Хлеб к чаю ""Сластена""","{'Вода': '1 стак.', 'Мука пшеничная': '230 мл', 'Сахар': '1 ст. л.', 'Молоко сухое': '2 ст. л.', 'Масло сливочное': '2 ст. л.', 'Мармелад': '0,25 стак.', 'Сок лимонный': '2 ст. л.', 'Цедра апельсина': '1 ч. л.', 'Цедра лимона': '1 ч. л.', 'Дрожжи': '2 ч. л.'}"
Печенье с яблочно-ореховой начинкой,"{'Масло сливочное': '200 г', 'Сметана': '1 ст. л.', 'Яйцо куриное': '1 шт', 'Молоко': '80 мл', 'Сахарная пудра': '2 ст. л.', 'Крахмал': '3 ст. л.', 'Разрыхлитель теста': '1,5 ч. л.', 'Ванильный сахар': '10 г', 'Мука пшеничная': '450 г', 'Яблоко': '3 шт', 'Сахар': '2 ст. л.', 'Орехи грецкие': '60 г', 'Корица': '1 ч. л.'}"
Сдобные пирожки с маком и абрикосами,"{'Мука пшеничная': '900 г', 'Молоко': '350 мл', 'Сахар': 'по вкусу', 'Дрожжи': '25 г', 'Ванильный сахар': '1 пакет.', 'Коньяк': '1 ст. л.', 'Цедра лимона': '1 ч. л.', 'Масло сливочное': '100 г', 'Соль': '0.5 ч. л.', 'Яйцо куриное': '2 шт', 'Мак': '150 г', 'Абрикос': '15 шт'}"
Открытый яблочно-грушевый пирог,"{'Мука пшеничная': '650 г', 'Вода газированная': '250 г', 'Масло подсолнечное': '150 г', 'Яйцо куриное': '2 шт', 'Разрыхлитель теста': '1 ч. л.', 'Сода': '1 ч. л.', 'Кислота лимонная': '0,5 ч. л.', 'Ванильный сахар': '8 г', 'Соль': '1 ч. л.', 'Сахар': '150 г', 'Яблоко': '4 шт', 'Груша': '2 шт', 'Сахар коричневый': '100 г', 'Корица': '10 г'}"
"Торт ""Лже-Наполеон""","{'Сметана': '1 пач.', 'Мука пшеничная': '3 ст. л.', 'Маргарин': '250 г', 'Дрожжи': '20 г', 'Соль': '1 щепот.', 'Желток яичный': '4 шт', 'Сахар': '1 стак.', 'Молоко': '0.5 л'}"
Украшение из сахарной мастики,"{'Сахарная пудра': '1 кг', 'Желатин': '1,5 ст. л.', 'Вода': '0,25 стак.'}"
Сырные гренки с чесноком,"{'Багет': '1 шт', 'Масло сливочное': '150 г', 'Чеснок': '3 зуб.', 'Сыр твердый': '150 г'}"
Куриные шницели с морковной корочкой,"{'Грудка куриная': '2 шт', 'Морковь': '1 шт', 'Яйцо куриное': '2 шт', 'Мука пшеничная': '3 ст. л.', 'Цедра лимона': '1 ч. л.', 'Масло топленое': '3 ст. л.'}"
Овсяно-банановое печенье,"{'Хлопья овсяные': '1 стак.', 'Банан': '2 шт', 'Изюм': '1 горст.', 'Кефир': '2 ст. л.', 'Специи': '1 ч. л.'}"
"Суп ""Пёстрый""","{'Бульон': '1.2 л', 'Лук репчатый': '0.5 шт', 'Морковь': '1 шт', 'Картофель': '4 шт', 'Репа': '1 шт', 'Нут': '1 горст.', 'Лапша': '125 г', 'Перец болгарский': '1 шт', 'Соль': 'по вкусу', 'Петрушка': '1 пуч.', 'Сахар тростниковый': '1 ч. л.'}"
"Украшение для торта ""Гвоздика""",{'Конфеты': '2 шт'}
Булочки-ачма с творогом и зеленью,"{'Молоко': '1 стак.', 'Закваска': '1 шт', 'Вода': '0.25 стак.', 'Яйцо куриное': '1 шт', 'Масло растительное': '0.5 стак.', 'Масло сливочное': '1 ст. л.', 'Соль': '0.1 ч. л.', 'Сахар': '1 ст. л.', 'Мука пшеничная': '4 стак.', 'Дрожжи': '0.5 пакет.', 'Творог': '100 г', 'Сыр твердый': '50 г', 'Зелень': '1 пуч.', 'Желток яичный': '1 шт', 'Сахарная пудра': '0.5 ч. л.'}"
Постное ягодное печенье,"{'Ягода': '100 г', 'Вода': '100 мл', 'Сахар': '60 г', 'Масло растительное': '3 ст. л.', 'Крахмал': '2 ст. л.', 'Мука пшеничная': '300 г', 'Разрыхлитель теста': '2 ч. л.'}"
"Салат ""Дедморозовский""","{'Говядина': '150 г', 'Картофель': '150 г', 'Свекла': '150 г', 'Морковь': '150 г', 'Орехи кедровые': '50 г', 'Майонез': '100 г'}"
Кекс двухслойный,"{'Мука пшеничная': '120 г', 'Масло сливочное': '120 г', 'Сахар коричневый': '100 г', 'Яйцо куриное': '2 шт', 'Разрыхлитель теста': '0.5 ч. л.', 'Шоколад темный': '280 г', 'Молоко': '50 мл', 'Масло растительное': '0.5 ч. л.'}"
Ягодный кекс с ванильной глазурью,"{'Масло сливочное': '2 ст. л.', 'Сахарная пудра': '3 ст. л.', 'Сливки': '1 ст. л.', 'Мука пшеничная': '2 ст. л.', 'Сахар': '2 ст. л.', 'Яйцо куриное': '1 шт', 'Разрыхлитель теста': '1 ч. л.', 'Корица': '0,5 ч. л.', 'Мак': '2 ст. л.', 'Ванильный сахар': '0,5 ч. л.', 'Ягода': '5 шт'}"
"Соус-закуска ""Мухаммара""","{'Перец болгарский': '3 шт', 'Орехи грецкие': '150 мл', 'Соевый соус': '2 ст. л.', 'Сухари панировочные': '2 ст. л.', 'Чеснок': '1 щепот.', 'Сок лимонный': '1 ст. л.', 'Зира': '1 ч. л.', 'Томатная паста': '1 ст. л.', 'Масло оливковое': '50 мл'}"
Запеченный творожный сыр,"{'Сыр творожный': '1 шт', 'Масло оливковое': '1 ст. л.', 'Соль': '1 ч. л.', 'Порошок чесночный': '1 ч. л.', 'Карри': '0,5 ч. л.', 'Перец чили': '0,5 ч. л.', 'Тмин': '1 ч. л.', 'Пряности': '1 ч. л.'}"
"Ягодный десерт ""Красный""","{'Ягода': '500 г', 'Сахар': '1 ст. л.', 'Крахмал картофельный': '100 г', 'Вода': '500 мл', 'Ванильный сахар': '1 пакет.', 'Крахмал кукурузный': '1 ст. л.', 'Яйцо куриное': '2 шт', 'Молоко': '250 мл'}"
Пенный коктейль с квасом,"{'Белок яичный': '1 шт', 'Квас': '150 мл', 'Сироп фруктовый': '2 ст. л.'}"
Лимонная рыба под орехово-хлебным штрейзелем,"{'Рыба': '600 г', 'Масло сливочное': '2 ст. л.', 'Крошка хлебная': '50 г', 'Орехи грецкие': '2 ст. л.', 'Чеснок': '1 зуб.', 'Зелень': '2 ст. л.', 'Лимон': '1 шт', 'Перец чили': '1 шт', 'Масло грецкого ореха': '3 ч. л.', 'Розмарин': '2 шт'}"
Булочка розовая,"{'Мука пшеничная': '3,5 стак.', 'Дрожжи': '1 пач.', 'Сахар': '1 ст. л.', 'Соль': '1 ч. л.', 'Свекла': '50 г', 'Масло растительное': '2 ст. л.', 'Вода': '1 стак.'}"
Постное печенье с зерновыми хлопьями,"{'Сахар коричневый': '90 г', 'Вода': '50 г', 'Масло оливковое': '50 г', 'Соль': 'по вкусу', 'Мед': '50 г', 'Сода': '1 ч. л.', 'Мука пшеничная': '280 г', 'Хлопья злаковые': '50 г', 'Корица': '1 ч. л.', 'Шоколад темный': '30 г'}"
Суп по-тарасовски,"{'Курица': '1,5 кг', 'Морковь': '1 шт', 'Лук репчатый': '1 шт', 'Перец болгарский': '1 шт', 'Помидор': '1 шт', 'Кукуруза': '1 бан.', 'Яйцо куриное': '4 шт', 'Зелень': '1 пуч.'}"
Кокосовый трюфель,"{'Масло сливочное': '75 г', 'Сахарная пудра': '75 г', 'Ванильный сахар': '1 пакет.', 'Шоколад молочный': '200 г', 'Стружка кокосовая': '75 г'}"
